epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.63,2.13335,3.91913,1.7665,0.00854,0.04104,0.00764,0.00244,1.80817,3.7358,1.44351,1.429e-05,1.429e-05,1.429e-05
2,72.0978,1.99063,3.88142,1.68684,0.0112,0.0527,0.00927,0.00332,1.70758,3.72816,1.38757,4.20212e-05,4.20212e-05,4.20212e-05
3,93.494,1.83441,3.69309,1.64288,0.01162,0.05128,0.01067,0.00435,1.55433,3.73074,1.31827,6.86206e-05,6.86206e-05,6.86206e-05
4,109.697,1.66003,3.65106,1.49874,0.02656,0.11422,0.02397,0.01221,1.39714,3.73831,1.25419,9.40882e-05,9.40882e-05,9.40882e-05
5,128.349,1.44704,3.44856,1.36335,0.02863,0.11938,0.03972,0.01899,1.29261,3.72734,1.20708,0.000118424,0.000118424,0.000118424
6,143.026,1.37859,3.2992,1.3089,0.02237,0.08816,0.04671,0.02605,1.20864,3.6689,1.15738,0.000141628,0.000141628,0.000141628
7,163.389,1.20431,2.98448,1.17794,0.02965,0.10964,0.07392,0.03987,1.13976,3.59175,1.10894,0.000163701,0.000163701,0.000163701
8,196.065,1.25079,2.83503,1.1532,0.04028,0.14468,0.08518,0.05252,1.13671,3.53589,1.09781,0.000184641,0.000184641,0.000184641
9,218.515,1.16491,2.68293,1.11187,0.04658,0.16382,0.09967,0.06014,1.14498,3.51323,1.10922,0.00020445,0.00020445,0.00020445
10,242.963,1.11243,2.71407,1.09484,0.05253,0.17173,0.11517,0.0694,1.13661,3.47479,1.10357,0.000223127,0.000223127,0.000223127
11,257.68,1.06214,2.40509,1.0697,0.06036,0.1918,0.13099,0.0779,1.12448,3.419,1.09446,0.000240672,0.000240672,0.000240672
12,271.106,1.00607,2.13908,1.07972,0.07139,0.21977,0.14913,0.09163,1.12461,3.36336,1.09526,0.000257086,0.000257086,0.000257086
13,285.75,1.0441,2.23471,1.05001,0.09253,0.28412,0.18375,0.11724,1.13263,3.29394,1.10061,0.000272367,0.000272367,0.000272367
14,309.366,0.98972,2.13849,1.04011,0.09904,0.31584,0.21347,0.13321,1.1526,3.20755,1.10385,0.000286517,0.000286517,0.000286517
15,322.328,0.95073,1.9036,1.00573,0.62372,0.15293,0.22879,0.14442,1.17584,3.09885,1.11295,0.000299536,0.000299536,0.000299536
16,338.761,0.91404,1.72962,1.01164,0.62978,0.16202,0.24754,0.16265,1.16849,2.99742,1.11203,0.000311422,0.000311422,0.000311422
17,353.949,0.90162,1.77901,1.01897,0.62834,0.16721,0.26137,0.18173,1.13348,2.90074,1.10219,0.000322177,0.000322177,0.000322177
18,366.899,0.9383,1.67497,1.00248,0.2566,0.20712,0.26341,0.18473,1.14348,2.83598,1.11465,0.0003318,0.0003318,0.0003318
19,379.91,0.85605,1.66901,1.01325,0.60311,0.19313,0.2726,0.19467,1.15374,2.77814,1.1272,0.000340291,0.000340291,0.000340291
20,393.291,0.92753,1.55101,1.0226,0.64951,0.18705,0.27174,0.19815,1.16878,2.71862,1.15335,0.00034765,0.00034765,0.00034765
21,404.547,0.81161,1.39379,0.9688,0.67763,0.18696,0.27461,0.20049,1.18512,2.6603,1.16217,0.000353878,0.000353878,0.000353878
22,416.714,0.93586,1.42376,1.02052,0.64681,0.18088,0.28035,0.20703,1.18639,2.61831,1.16861,0.000358973,0.000358973,0.000358973
23,428.422,0.85452,1.24344,0.98788,0.66756,0.19781,0.28764,0.21485,1.18963,2.57133,1.17583,0.000362937,0.000362937,0.000362937
